TimeDeath     ID      Tj      Df      Dd      Db
9     2003     5     0     4     4     AS
10     2000     5     0     5     5     AS
22     2005     5     0     17     17     AS
22     2002     5     0     17     17     AS
22     2094     20     0     2     2     AM
23     2087     19     0     4     4     AM
23     2095     20     0     3     3     AM
25     2073     18     0     7     7     AM
30     2106     28     0     2     2     AM
30     2107     28     0     2     2     AM
34     2126     33     0     1     1     AM
35     2023     8     6     21     27     AS
35     2015     7     1     27     28     AS
35     2127     33     0     2     2     AM
36     2120     33     2     1     3     AM
37     2116     31     0     6     6     AM
37     2008     7     1     29     30     AS
37     2117     31     0     6     6     AM
38     2102     26     0     12     12     AM
39     2098     26     0     13     13     AM
40     2133     38     0     2     2     AM
40     2084     19     0     21     21     AM
41     2029     9     4     28     32     AS
42     2017     8     13     21     34     AS
44     2158     42     0     2     2     AM
47     2083     19     6     22     28     AS
47     2001     5     0     42     42     AD
48     2048     13     13     22     35     AS
48     2175     45     0     3     3     AM
49     2174     45     1     3     4     AM
51     2062     15     13     23     36     AS
51     2173     45     3     3     6     AM
52     2033     11     5     36     41     AS
52     2171     45     4     3     7     AM
54     2042     12     6     36     42     AS
56     2191     53     0     3     3     AM
57     2090     20     14     23     37     AS
60     2057     15     6     39     45     AS
60     2203     58     0     2     2     AM
61     2069     16     6     39     45     AS
66     2096     26     6     34     40     AS
66     2099     26     13     27     40     AS
67     2229     64     0     3     3     AM
68     2231     64     0     4     4     AM
70     2067     16     6     48     54     AS
70     2004     5     0     65     65     AD
70     2235     69     0     1     1     AM
72     2041     12     12     48     60     AS
75     2045     12     6     57     63     AS
75     2020     8     2     65     67     AD
76     2263     75     0     1     1     AM
77     2038     11     5     61     66     AD
77     2260     75     0     2     2     AM
78     2071     16     8     54     62     AD
81     2270     78     0     3     3     AM
82     2269     78     0     4     4     AM
82     2279     79     0     3     3     AM
85     2267     78     4     3     7     AM
87     2299     86     0     1     1     AM
89     2284     83     0     6     6     AM
90     2297     86     0     4     4     AM
91     2288     84     0     7     7     AM
92     2111     28     7     57     64     AS
92     2054     13     6     73     79     AD
93     2157     42     18     33     51     AS
94     2311     92     0     2     2     AM
94     2310     92     0     2     2     AM
97     2308     92     3     2     5     AM
102     2327     99     0     3     3     AM
103     2122     33     15     55     70     AS
103     2320     99     0     4     4     AM
104     2050     13     7     84     91     AS
106     2314     98     0     8     8     AM
106     2319     98     0     8     8     AM
106     2305     92     3     11     14     AM
107     2259     75     2     30     32     AM
109     2060     15     6     88     94     AS
109     2065     16     6     87     93     AS
109     2312     98     8     3     11     AM
111     2012     7     10     94     104     AD
115     2129     38     6     71     77     AS
115     2130     38     6     71     77     AS
117     2358     116     0     1     1     AM
118     2141     39     7     72     79     AS
121     2375     120     0     1     1     AM
124     2153     42     8     74     82     AS
126     2380     124     0     2     2     AM
126     2376     124     0     2     2     AM
127     2009     7     10     110     120     AS
127     2374     120     1     6     7     AM
128     2030     9     4     115     119     AD
129     2356     116     2     11     13     AM
129     2366     119     0     10     10     AM
134     2046     12     13     109     122     AS
134     2139     39     7     88     95     AS
134     2390     131     0     3     3     AM
135     2024     9     3     123     126     AS
135     2389     131     0     4     4     AM
136     2092     20     7     109     116     AS
137     2013     7     2     128     130     AD
138     2388     131     5     2     7     AM
139     2393     136     0     3     3     AM
141     2385     131     8     2     10     AM
141     2387     131     7     3     10     AM
142     2352     116     13     13     26     AM
143     2221     62     10     71     81     AS
143     2064     16     19     108     127     AD
145     2039     11     5     129     134     AD
145     2421     144     0     1     1     AM
146     2011     7     1     138     139     AD
147     2101     26     28     93     121     AD
148     2422     144     0     4     4     AM
148     2420     144     2     2     4     AM
150     2264     78     11     61     72     AS
151     2426     149     0     2     2     AM
153     2425     149     2     2     4     AM
155     2424     149     3     3     6     AM
155     2438     153     0     2     2     AM
155     2414     143     0     12     12     AM
157     2411     143     0     14     14     AM
157     2410     143     13     1     14     AM
159     2339     113     0     46     46     AM
160     2384     131     10     19     29     AM
161     2189     53     20     88     108     AS
161     2165     44     9     108     117     AS
161     2334     110     0     51     51     AM
162     2330     110     0     52     52     AM
164     2346     114     0     50     50     AM
165     2072     18     9     138     147     AD
165     2329     110     52     3     55     AM
166     2275     79     12     75     87     AS
167     2257     75     34     58     92     AM
167     2255     73     0     94     94     AM
168     2182     50     9     109     118     AS
168     2258     75     32     61     93     AM
174     2449     171     0     3     3     AM
174     2088     20     10     144     154     AD
175     2455     171     0     4     4     AM
176     2138     39     16     121     137     AS
176     2445     169     1     6     7     AM
179     2459     177     0     2     2     AM
180     2458     177     0     3     3     AM
183     2457     177     3     3     6     AM
185     2467     181     0     4     4     AM
186     2448     171     3     12     15     AM
188     2485     187     0     1     1     AM
190     2487     187     0     3     3     AM
190     2035     11     4     175     179     AD
192     2335     110     16     66     82     AS
192     2481     187     2     3     5     AM
194     2474     186     0     8     8     AM
194     2456     177     8     9     17     AM
198     2110     28     7     163     170     AS
198     2177     50     9     139     148     AS
198     2131     38     17     143     160     AD
203     2315     98     14     91     105     AS
207     2543     204     0     3     3     AM
209     2552     207     0     2     2     AM
209     2535     203     0     6     6     AM
214     2576     213     0     1     1     AM
215     2568     212     0     3     3     AM
218     2593     217     0     1     1     AM
219     2592     217     0     2     2     AM
219     2222     62     63     94     157     AD
221     2080     19     9     193     202     AD
222     2378     124     16     82     98     AS
224     2152     42     8     174     182     AS
224     2620     222     0     2     2     AM
224     2616     222     0     2     2     AM
226     2317     98     31     97     128     AS
226     2608     221     0     5     5     AM
227     2610     221     0     6     6     AM
227     2168     45     22     160     182     AD
228     2629     227     0     1     1     AM
229     2600     220     0     9     9     AM
231     2093     20     11     200     211     AD
232     2638     230     0     2     2     AM
232     2634     230     0     2     2     AM
235     2647     233     0     2     2     AM
237     2633     230     5     2     7     AM
238     2646     233     0     5     5     AM
239     2574     212     0     27     27     AM
239     2604     220     0     19     19     AM
240     2590     216     0     24     24     AM
241     2566     210     0     31     31     AM
241     2632     230     8     3     11     AM
