TimeDeath     ID      Tj      Df      Dd      Db
5     2020     4     0     1     1     AM
5     2023     4     0     1     1     AM
9     2001     2     0     7     7     AS
9     2035     7     0     2     2     AM
9     2033     7     0     2     2     AM
11     2031     6     0     5     5     AM
15     2004     2     0     13     13     AS
17     2056     15     0     2     2     AM
18     2002     2     0     16     16     AS
19     2062     15     0     4     4     AM
20     2006     2     0     18     18     AS
20     2053     14     0     6     6     AM
21     2054     14     0     7     7     AM
22     2026     6     6     10     16     AM
22     2048     14     7     1     8     AM
23     2030     6     0     17     17     AM
24     2040     13     0     11     11     AM
26     2011     3     0     23     23     AM
26     2019     4     19     3     22     AM
28     2014     3     0     25     25     AM
31     2016     4     1     26     27     AS
31     2018     4     1     26     27     AS
32     2025     6     1     25     26     AS
33     2076     29     0     4     4     AM
33     2050     14     3     16     19     AD
33     2078     29     0     4     4     AM
33     2000     2     0     31     31     AM
39     2043     13     2     24     26     AD
41     2103     40     0     1     1     AM
42     2100     40     0     2     2     AM
42     2021     4     0     38     38     AD
43     2070     19     0     24     24     AD
45     2097     40     2     3     5     AM
48     2107     46     0     2     2     AM
51     2058     15     4     32     36     AD
57     2037     7     2     48     50     AS
59     2051     14     4     41     45     AD
59     2163     58     0     1     1     AM
59     2049     14     9     36     45     AD
60     2042     13     6     41     47     AS
60     2164     58     0     2     2     AM
62     2034     7     2     53     55     AS
64     2036     7     2     55     57     AS
65     2179     63     0     2     2     AM
67     2046     13     0     54     54     AD
67     2203     66     0     1     1     AM
69     2207     66     0     3     3     AM
69     2057     15     10     44     54     AD
71     2060     15     5     51     56     AD
71     2201     66     2     3     5     AM
72     2213     69     0     3     3     AM
72     2189     64     0     8     8     AM
75     2221     73     0     2     2     AM
75     2183     63     0     12     12     AM
77     2022     4     1     72     73     AS
78     2178     63     13     2     15     AM
78     2172     61     0     17     17     AM
79     2174     61     0     18     18     AM
82     2059     15     3     64     67     AS
85     2041     13     14     58     72     AS
89     2269     86     0     3     3     AM
90     2268     86     0     4     4     AM
98     2299     94     0     4     4     AM
101     2133     53     8     40     48     AS
108     2346     106     0     2     2     AM
108     2351     106     0     2     2     AM
110     2342     104     0     6     6     AM
111     2345     106     2     3     5     AM
111     2337     104     0     7     7     AM
112     2121     50     9     53     62     AS
112     2068     19     8     85     93     AD
115     2129     53     15     47     62     AS
115     2170     61     7     47     54     AS
116     2376     115     0     1     1     AM
117     2382     115     0     2     2     AM
118     2370     114     0     4     4     AM
