TimeDeath     ID      Tj      Df      Dd      Db
252     2239     104     36     112     148     AS
253     2294     128     12     113     125     AS
256     2299     130     24     102     126     AS
256     2617     253     0     3     3     AM
256     2358     148     21     87     108     AD
256     2619     253     0     3     3     AM
257     2611     250     0     7     7     AM
257     2609     250     1     6     7     AM
258     2306     131     53     74     127     AS
258     2307     131     12     115     127     AS
258     2561     230     0     28     28     AM
258     2568     232     12     14     26     AM
259     2257     119     37     103     140     AS
260     2513     214     0     46     46     AM
261     2512     214     45     2     47     AM
261     2507     213     0     48     48     AM
262     2409     172     15     75     90     AS
263     2269     120     15     128     143     AS
264     2209     94     12     158     170     AD
265     2327     136     11     118     129     AS
265     2629     262     0     3     3     AM
265     2628     262     0     3     3     AM
266     2277     121     39     106     145     AS
268     2357     148     27     93     120     AS
270     2632     267     0     3     3     AM
271     2643     268     0     3     3     AM
273     2635     267     0     6     6     AM
274     2663     272     0     2     2     AM
276     2679     275     0     1     1     AM
279     2151     71     8     200     208     AS
279     2693     277     0     2     2     AM
280     2247     107     0     173     173     AD
280     2692     277     0     3     3     AM
280     2683     276     0     4     4     AM
281     2676     275     0     6     6     AM
284     2264     120     25     139     164     AS
284     2701     283     0     1     1     AM
284     2702     283     0     1     1     AM
287     2699     283     2     2     4     AM
288     2350     142     20     126     146     AD
289     2700     283     2     4     6     AM
290     2709     287     0     3     3     AM
290     2675     275     6     9     15     AM
291     2648     270     0     21     21     AM
291     2673     275     7     9     16     AM
292     2625     262     4     26     30     AM
292     2121     65     5     222     227     AD
293     2194     88     50     155     205     AS
293     2175     78     10     205     215     AS
293     2312     133     13     147     160     AD
294     2722     293     0     1     1     AM
295     2724     293     0     2     2     AM
296     2437     178     16     102     118     AS
296     2396     164     14     118     132     AS
297     2341     139     12     146     158     AS
297     2212     94     45     158     203     AS
297     2236     104     76     117     193     AS
297     2505     213     0     84     84     AM
297     2627     262     3     32     35     AM
298     2361     150     21     127     148     AD
299     2743     298     0     1     1     AM
301     2742     298     0     3     3     AM
302     2748     299     0     3     3     AM
304     2346     142     26     136     162     AS
305     2739     298     4     3     7     AM
306     2738     298     4     4     8     AM
307     2263     119     15     173     188     AS
307     2244     107     27     173     200     AS
307     2503     210     0     97     97     AM
307     2504     213     84     10     94     AM
307     2325     136     0     171     171     AD
307     2502     210     0     97     97     AM
308     2408     172     15     121     136     AS
311     2769     310     0     1     1     AM
312     2763     309     0     3     3     AM
316     2799     315     0     1     1     AM
319     2797     315     2     2     4     AM
319     2798     315     1     3     4     AM
328     2827     326     0     2     2     AM
328     2826     326     0     2     2     AM
328     2268     120     41     167     208     AD
329     2822     323     0     6     6     AM
330     2483     199     58     73     131     AS
332     2313     133     37     162     199     AS
332     2315     133     11     188     199     AS
332     2838     330     0     2     2     AM
334     2411     172     31     131     162     AS
334     2267     120     15     199     214     AS
334     2837     330     2     2     4     AM
335     2839     330     0     5     5     AM
335     2454     185     30     120     150     AD
336     2457     189     34     113     147     AS
336     2842     333     0     3     3     AM
336     2348     142     20     174     194     AD
337     2825     326     2     9     11     AM
337     2836     330     5     2     7     AM
338     2416     175     32     131     163     AS
338     2819     323     0     15     15     AM
340     2817     323     15     2     17     AM
340     2812     322     0     18     18     AM
341     2092     51     26     264     290     AD
343     2422     175     16     152     168     AS
344     2193     88     50     206     256     AS
345     2852     342     0     3     3     AM
346     2853     342     0     4     4     AM
351     2211     94     45     212     257     AS
351     2237     104     48     199     247     AS
351     2870     349     0     2     2     AM
351     2412     172     53     126     179     AD
352     2869     349     0     3     3     AM
353     2511     213     19     121     140     AS
354     2861     348     0     6     6     AM
354     2866     349     3     2     5     AM
356     2858     348     7     1     8     AM
356     2860     348     0     8     8     AM
357     2302     130     68     159     227     AS
357     2849     342     3     12     15     AM
359     2150     71     8     280     288     AS
360     2450     185     16     159     175     AS
360     2592     238     21     101     122     AS
360     2879     358     0     2     2     AM
361     2253     118     37     206     243     AD
362     2535     220     19     123     142     AS
362     2883     359     0     3     3     AM
362     2877     358     0     4     4     AM
369     2910     367     0     2     2     AM
369     2908     367     0     2     2     AM
370     2903     365     0     5     5     AM
370     2495     202     0     168     168     AD
370     2902     365     0     5     5     AM
373     2655     270     22     81     103     AS
373     2499     210     18     145     163     AS
373     2906     367     3     3     6     AM
374     2433     178     33     163     196     AS
375     2922     374     0     1     1     AM
376     2662     272     23     81     104     AS
376     2614     250     22     104     126     AS
381     2569     232     66     83     149     AS
384     2579     233     21     130     151     AS
384     2967     381     0     3     3     AM
385     2375     154     13     218     231     AS
386     2960     381     0     5     5     AM
388     2249     118     37     233     270     AS
388     2251     118     25     245     270     AS
388     2383     156     44     188     232     AS
388     2444     183     0     205     205     AD
389     2265     120     10     259     269     AD
390     2696     283     24     83     107     AS
390     2977     387     0     3     3     AM
390     2345     142     19     229     248     AD
390     2983     387     0     3     3     AM
392     2974     385     0     7     7     AM
395     2276     121     15     259     274     AS
398     2996     394     0     4     4     AM
399     2997     394     0     5     5     AM
401     2466     191     17     193     210     AS
401     2180     80     68     253     321     AS
