TimeDeath     ID      Tj      Df      Dd      Db
1     2     0     1     0     1     ET
1     3     0     1     0     1     EG
2     5     0     1     1     2     ET
2     7     0     1     1     2     EG
4     15     4     0     0     0     ET
7     10     4     0     3     3     EG
8     16     4     1     3     4     EG
9     12     4     2     3     5     EG
10     20     9     0     1     1     ET
10     9     4     1     5     6     EG
11     8     0     1     10     11     ES
12     1     0     1     11     12     ES
12     23     9     1     2     3     EG
16     28     11     1     4     5     ES
16     11     4     7     5     12     ES
17     36     13     0     4     4     ES
17     41     14     2     1     3     ET
19     24     9     3     7     10     ES
19     25     11     1     7     8     ES
20     35     13     0     7     7     ES
20     50     19     0     1     1     ET
21     45     14     0     7     7     EG
22     43     14     1     7     8     ES
22     17     9     3     10     13     EG
23     51     19     0     4     4     ES
23     37     13     2     8     10     ES
23     29     11     0     12     12     ET
23     49     19     1     3     4     EG
24     59     22     0     2     2     ES
25     14     4     7     14     21     ES
25     48     14     0     11     11     EG
28     64     22     3     3     6     ES
28     85     26     0     2     2     ET
29     4     0     1     28     29     ES
29     34     13     0     16     16     ES
29     78     25     0     4     4     ES
30     83     26     0     4     4     ES
33     58     22     2     9     11     EG
35     61     22     7     6     13     EG
35     119     32     0     3     3     ET
36     95     28     2     6     8     ES
36     121     34     1     1     2     ET
36     26     11     2     23     25     EG
37     6     0     1     36     37     ES
37     86     26     2     9     11     ES
38     104     30     1     7     8     ES
38     56     19     2     17     19     EG
39     107     31     1     7     8     ES
40     30     11     1     28     29     ES
40     47     14     1     25     26     ES
40     111     31     1     8     9     ES
40     100     30     2     8     10     ES
40     103     30     1     9     10     ES
42     74     25     3     14     17     EG
43     126     34     5     4     9     ES
43     127     34     3     6     9     ES
43     97     30     0     13     13     ES
45     112     31     6     8     14     EG
47     93     28     11     8     19     EG
49     163     47     0     2     2     ET
49     162     47     0     2     2     ET
49     158     43     3     3     6     ES
49     150     41     0     8     8     ET
50     143     38     0     12     12     ET
50     148     41     1     8     9     ET
51     176     50     0     1     1     ET
51     140     38     0     13     13     ET
51     82     26     3     22     25     EG
52     52     19     4     29     33     EG
53     177     51     0     2     2     ET
56     159     43     2     11     13     ES
56     138     38     17     1     18     ET
56     139     38     16     2     18     ET
59     186     58     0     1     1     ET
59     188     58     0     1     1     ET
59     60     22     2     35     37     EG
60     161     47     1     12     13     ES
62     40     13     1     48     49     ES
62     63     22     0     40     40     ES
62     131     37     15     10     25     EG
63     166     47     1     15     16     ES
64     195     60     1     3     4     ES
64     120     32     7     25     32     EG
65     190     58     1     6     7     ES
65     215     64     0     1     1     ET
65     212     64     0     1     1     ET
68     213     64     0     4     4     ET
68     189     58     10     0     10     EG
68     211     64     4     0     4     ET
69     204     61     1     7     8     ET
69     171     50     8     11     19     EG
69     172     50     8     11     19     EG
70     194     60     1     9     10     ES
72     198     60     10     2     12     ET
72     197     60     11     1     12     ET
73     224     66     4     3     7     ES
73     220     66     1     6     7     ES
74     221     66     1     7     8     ES
74     133     37     37     0     37     ET
74     106     31     6     37     43     EG
75     68     24     22     29     51     EG
75     90     28     3     44     47     EG
76     94     28     4     44     48     EG
76     96     28     12     36     48     EG
78     123     34     15     29     44     EG
79     242     77     0     2     2     ET
79     248     77     0     2     2     ES
80     253     78     0     2     2     ET
81     237     76     0     5     5     ET
81     199     60     10     11     21     EG
82     244     77     0     5     5     ET
82     154     43     7     32     39     EG
83     62     22     0     61     61     ES
83     267     83     0     0     0     ET
84     183     51     10     23     33     EG
84     157     43     30     11     41     EG
85     87     26     1     58     59     ES
87     259     82     0     5     5     ET
88     270     83     2     3     5     ES
88     258     82     1     5     6     ES
88     225     75     0     13     13     ET
88     164     47     7     34     41     EG
89     271     83     2     4     6     ES
89     147     41     7     41     48     EG
90     91     28     0     62     62     ES
91     288     90     0     1     1     ET
92     128     34     7     51     58     EG
93     266     83     1     9     10     ES
94     279     89     1     4     5     ES
94     175     50     9     35     44     EG
96     178     51     21     24     45     EG
97     99     30     13     54     67     EG
97     314     96     0     1     1     ET
99     299     94     1     4     5     ES
99     141     38     15     46     61     EG
100     308     95     0     5     5     ET
100     310     95     0     5     5     ET
101     280     89     1     11     12     ES
101     306     95     5     1     6     ET
101     247     77     12     12     24     EG
102     302     94     0     8     8     ET
104     341     103     0     1     1     ET
104     256     78     13     13     26     EG
104     218     66     25     13     38     EG
105     297     94     1     10     11     ES
105     315     96     1     8     9     ES
105     339     103     1     1     2     ET
105     312     95     2     8     10     ES
105     185     58     9     38     47     EG
105     300     94     8     3     11     ET
106     283     90     1     15     16     ES
106     298     94     12     0     12     ET
106     187     58     21     27     48     EG
106     338     103     2     1     3     ET
106     191     58     10     38     48     EG
107     296     93     0     14     14     ET
107     290     93     0     14     14     ET
108     303     94     1     13     14     ES
108     285     90     2     16     18     ET
109     307     95     2     12     14     ES
109     203     61     10     38     48     EG
111     317     96     4     11     15     ES
112     358     111     0     1     1     ET
112     181     51     10     51     61     EG
113     305     95     6     12     18     ES
114     333     102     7     5     12     ES
117     84     26     0     91     91     ES
117     114     32     1     84     85     ES
118     101     30     1     87     88     ES
118     145     41     1     76     77     ES
118     337     103     3     12     15     ES
118     340     103     3     12     15     ES
118     399     118     0     0     0     ET
119     353     111     2     6     8     ES
119     217     66     11     42     53     EG
120     407     119     0     1     1     ET
121     252     78     12     31     43     EG
122     289     93     1     28     29     ES
123     292     93     1     29     30     ES
123     356     111     2     10     12     ES
123     361     114     2     7     9     ES
123     414     121     0     2     2     ET
124     335     102     6     16     22     ES
124     351     110     4     10     14     ES
125     423     124     0     1     1     ET
125     79     25     17     83     100     EG
128     432     127     0     1     1     ET
128     105     31     1     96     97     ES
129     398     118     3     8     11     ES
129     426     127     1     1     2     ET
129     129     37     1     91     92     ES
129     425     127     2     0     2     ET
129     208     61     22     46     68     EG
129     421     124     2     3     5     ET
130     410     121     2     7     9     ET
131     419     124     2     5     7     ET
132     390     117     4     11     15     ES
133     402     119     3     11     14     ES
134     411     121     1     12     13     ET
135     136     37     2     96     98     ES
135     137     38     2     95     97     ES
135     396     118     0     17     17     ET
136     360     111     6     19     25     ES
137     404     119     3     15     18     ES
137     241     77     11     49     60     EG
137     445     136     0     1     1     ET
138     368     114     2     22     24     ES
138     400     118     0     20     20     ET
138     275     89     11     38     49     EG
139     403     119     1     19     20     ET
140     418     124     4     12     16     ES
140     389     117     7     16     23     ES
140     331     102     16     22     38     EG
141     405     119     3     19     22     ES
143     401     119     3     21     24     ES
143     438     132     3     8     11     ES
143     254     78     43     22     65     EG
143     387     117     0     26     26     ET
144     377     116     3     25     28     ES
144     382     116     3     25     28     ES
144     388     117     3     24     27     ES
144     169     50     30     64     94     EG
145     173     50     19     76     95     EG
146     346     110     16     20     36     EG
148     437     132     3     13     16     ES
148     442     136     3     9     12     ES
148     443     136     3     9     12     ES
149     318     96     32     21     53     EG
150     409     121     2     27     29     ES
150     436     132     3     15     18     ES
150     482     149     0     1     1     ET
151     486     149     0     2     2     ET
151     476     148     0     3     3     ET
152     115     32     1     119     120     ES
153     467     145     1     7     8     ET
153     328     98     16     39     55     EG
