TimeDeath     ID      Tj      Df      Dd      Db
154     372     115     18     21     39     EG
155     449     140     2     13     15     ES
156     474     148     3     5     8     ES
157     502     155     0     2     2     ET
157     501     155     0     2     2     ET
158     478     148     3     7     10     ES
158     274     89     11     58     69     EG
159     488     149     3     7     10     ES
159     503     155     0     4     4     ET
160     397     118     3     39     42     ES
160     498     155     3     2     5     ET
160     499     155     3     2     5     ET
160     494     154     0     6     6     ET
160     475     148     4     8     12     ET
160     451     140     20     0     20     EG
161     460     144     0     17     17     ET
161     457     144     0     17     17     ET
162     385     117     26     19     45     ET
163     487     149     3     11     14     ES
163     370     115     0     48     48     ET
163     375     115     0     48     48     ET
164     471     145     6     13     19     ES
164     506     163     0     1     1     ET
165     496     154     5     6     11     ES
166     462     144     2     20     22     ES
166     355     111     1     54     55     ET
167     468     145     2     20     22     ES
167     519     167     0     0     0     ET
168     526     168     0     0     0     ET
169     518     167     0     2     2     ET
170     520     167     0     3     3     ET
171     543     171     0     0     0     ET
172     130     37     4     131     135     ES
172     532     169     0     3     3     ET
172     366     114     0     58     58     ET
173     146     41     1     131     132     ES
173     320     96     15     62     77     EG
173     226     75     10     88     98     EG
174     464     144     2     28     30     ES
174     548     173     0     1     1     ET
174     352     110     0     64     64     ET
175     491     154     3     18     21     ES
175     493     154     3     18     21     ES
175     495     154     3     18     21     ES
175     473     148     3     24     27     ES
175     281     90     19     66     85     ET
176     149     41     1     134     135     ES
176     170     50     1     125     126     ES
176     369     115     17     44     61     EG
176     371     115     39     22     61     EG
177     528     168     3     6     9     ES
178     510     163     2     13     15     ES
178     193     60     13     105     118     ET
178     376     115     19     44     63     EG
179     231     75     11     93     104     EG
180     558     179     0     1     1     ET
180     378     116     19     45     64     EG
181     511     163     2     16     18     ES
182     568     181     0     1     1     ET
182     245     77     40     65     105     EG
183     523     168     3     12     15     ES
183     539     171     5     7     12     ES
184     567     181     0     3     3     ET
187     344     103     17     67     84     EG
188     521     168     2     18     20     ES
188     581     187     0     1     1     ET
188     545     173     7     8     15     ES
188     415     121     21     46     67     EG
188     249     78     12     98     110     EG
189     580     187     1     1     2     ET
189     562     181     4     4     8     ET
189     570     186     0     3     3     ET
190     535     169     4     17     21     ES
191     538     171     5     15     20     ES
193     555     179     11     3     14     ET
193     263     82     12     99     111     EG
194     561     181     6     7     13     ES
194     196     60     13     121     134     ET
194     265     83     12     99     111     EG
195     132     37     157     1     158     ET
195     590     191     1     3     4     ES
195     588     191     1     3     4     ES
195     350     110     37     48     85     EG
195     480     148     22     25     47     EG
196     560     179     2     15     17     ES
196     117     32     163     1     164     ET
196     108     31     0     165     165     ET
197     540     171     5     21     26     ES
197     113     32     164     1     165     ET
198     490     154     6     38     44     ES
199     584     187     2     10     12     ES
200     594     199     0     1     1     ET
201     362     114     16     71     87     EG
203     167     47     1     155     156     ES
204     591     191     2     11     13     ES
204     615     202     0     2     2     ET
205     232     75     40     90     130     EG
205     620     205     0     0     0     ET
205     446     136     21     48     69     EG
207     632     206     0     1     1     ET
207     572     186     4     17     21     ES
207     383     116     20     71     91     EG
207     239     76     23     108     131     EG
208     611     202     3     3     6     ET
209     579     187     7     15     22     ES
209     450     140     20     49     69     EG
211     606     201     5     5     10     ES
211     336     102     16     93     109     EG
212     622     205     2     5     7     ES
212     634     209     1     2     3     ET
213     630     206     2     5     7     ES
213     653     212     0     1     1     ET
214     182     51     2     161     163     ES
215     179     51     2     162     164     ES
215     343     103     17     95     112     EG
216     600     199     2     15     17     ES
216     617     205     2     9     11     ES
216     669     216     0     0     0     ET
216     152     41     15     160     175     EG
217     291     93     12     112     124     EG
218     599     199     2     17     19     ES
218     671     216     0     2     2     ET
218     516     167     23     28     51     EG
220     601     201     1     18     19     ES
220     676     218     0     2     2     ET
220     417     124     43     53     96     EG
221     667     216     1     4     5     ET
221     309     95     51     75     126     EG
222     614     202     3     17     20     ES
223     661     215     6     2     8     ET
223     347     110     16     97     113     EG
223     638     209     1     13     14     ET
223     313     96     31     96     127     EG
224     631     206     2     16     18     ES
224     354     111     37     76     113     EG
225     684     224     0     1     1     ET
225     485     149     23     53     76     EG
227     651     212     6     9     15     ES
227     690     225     0     2     2     ET
228     674     218     2     8     10     ES
228     675     218     2     8     10     ES
228     323     98     31     99     130     EG
228     683     224     3     1     4     ET
231     367     114     17     100     117     EG
231     699     229     0     2     2     ET
231     327     98     33     100     133     EG
232     705     230     1     1     2     ET
233     180     51     2     180     182     ES
233     666     216     3     14     17     ES
233     645     211     3     19     22     ES
233     688     224     0     9     9     ET
233     652     212     0     21     21     ET
234     228     75     59     100     159     EG
235     174     50     1     184     185     ES
235     693     225     5     5     10     ES
235     623     205     0     30     30     ET
236     717     236     0     0     0     ET
236     718     236     0     0     0     ET
236     329     102     15     119     134     EG
237     689     225     3     9     12     ES
237     715     236     0     1     1     ET
238     692     225     3     10     13     ES
239     604     201     0     38     38     ET
239     714     236     2     1     3     ET
240     330     102     59     79     138     EG
242     700     229     2     11     13     ES
243     184     51     2     190     192     ES
243     216     64     1     178     179     ES
243     574     186     26     31     57     EG
244     207     61     1     182     183     ES
244     223     66     1     177     178     ES
244     219     66     3     175     178     ES
244     209     64     1     179     180     ES
244     512     163     23     58     81     EG
245     583     187     27     31     58     EG
245     746     243     0     2     2     ET
247     737     242     4     1     5     ET
248     735     241     0     7     7     ET
249     752     243     2     4     6     ES
249     463     144     45     60     105     EG
250     757     249     0     1     1     ET
251     760     249     0     2     2     ET
252     293     93     51     108     159     EG
253     765     251     0     2     2     ET
255     762     251     2     2     4     ES
255     316     96     14     145     159     EG
256     734     241     2     13     15     ES
256     729     241     13     2     15     ET
257     722     240     16     1     17     ET
257     484     149     23     85     108     EG
258     723     240     16     2     18     ET
258     598     199     27     32     59     EG
259     550     173     26     60     86     EG
260     759     249     1     10     11     ES
260     552     173     54     33     87     EG
260     783     259     0     1     1     ET
261     776     257     0     4     4     ES
261     784     259     0     2     2     ES
261     775     257     0     4     4     ES
262     780     259     0     3     3     ES
262     326     98     15     149     164     EG
262     365     114     37     111     148     EG
263     779     259     2     2     4     ET
264     789     262     0     2     2     ET
264     612     202     28     34     62     EG
265     233     76     0     189     189     ES
265     791     262     0     3     3     ES
266     795     265     0     1     1     ES
266     797     265     0     1     1     ET
266     374     115     89     62     151     EG
267     772     257     0     10     10     ET
267     800     265     0     2     2     ET
268     805     268     0     0     0     ET
269     379     116     41     112     153     EG
269     380     116     20     133     153     EG
270     824     270     0     0     0     ET
270     393     118     21     131     152     EG
271     229     75     0     196     196     ES
271     235     76     0     195     195     ES
271     802     268     0     3     3     ES
271     394     118     21     132     153     EG
272     801     268     0     4     4     ES
272     813     269     0     3     3     ET
272     641     211     28     33     61     EG
273     815     269     0     4     4     ET
274     268     83     3     188     191     ES
276     804     268     5     3     8     ET
277     809     269     0     8     8     ES
277     811     269     4     4     8     ET
279     817     270     0     9     9     ES
279     284     90     72     117     189     EG
279     508     163     23     93     116     EG
279     577     187     27     65     92     EG
280     829     274     1     5     6     ES
281     593     199     80     2     82     ET
281     721     240     39     2     41     ET
281     670     216     31     34     65     EG
282     413     121     21     140     161     EG
283     98     30     252     1     253     ET
286     848     285     0     1     1     ET
286     515     167     23     96     119     EG
287     851     287     0     0     0     ET
288     856     287     0     1     1     ET
288     531     169     24     95     119     EG
291     874     291     0     0     0     ET
292     875     291     0     1     1     ET
292     871     289     0     3     3     ET
293     282     90     1     202     203     ES
293     294     93     1     199     200     ES
294     859     288     1     5     6     ES
294     295     93     1     200     201     ES
295     260     82     1     212     213     ES
295     357     111     17     167     184     EG
295     602     201     27     67     94     EG
298     853     287     3     8     11     ES
299     711     230     33     36     69     EG
300     885     296     0     4     4     ET
301     863     288     0     13     13     ET
301     504     155     22     124     146     EG
302     881     296     0     6     6     ET
303     862     288     2     13     15     ES
303     626     206     28     69     97     EG
303     75     25     259     19     278     ET
304     80     25     0     279     279     ET
304     898     304     0     0     0     ET
305     73     25     280     0     280     ET
306     71     24     0     282     282     ET
306     637     209     28     69     97     EG
307     901     304     1     2     3     ES
307     646     211     28     68     96     EG
309     264     82     1     226     227     ES
309     325     98     1     210     211     ES
310     927     309     0     1     1     ET
311     741     242     32     37     69     EG
312     321     98     1     213     214     ES
313     918     308     0     5     5     ET
313     922     309     2     2     4     ET
314     910     307     0     7     7     ET
315     915     308     6     1     7     ET
315     573     186     26     103     129     EG
316     926     309     1     6     7     ES
316     906     307     2     7     9     ES
317     911     307     1     9     10     ES
318     931     317     0     1     1     ET
318     658     215     30     73     103     EG
319     884     296     5     18     23     ES
319     924     309     1     9     10     ES
319     342     103     38     178     216     EG
320     932     317     0     3     3     ES
321     332     102     2     217     219     ES
321     319     96     4     221     225     ES
321     459     144     21     156     177     EG
322     936     317     2     3     5     ES
322     934     317     0     5     5     ES
322     947     320     0     2     2     ET
324     948     320     0     4     4     ET
324     585     191     27     106     133     EG
325     939     318     0     7     7     ES
325     942     318     0     7     7     ES
325     466     145     22     158     180     EG
326     951     320     1     5     6     ES
327     304     94     51     182     233     EG
328     962     326     1     1     2     ET
328     536     169     25     134     159     EG
329     957     325     4     0     4     ET
329     694     225     31     73     104     EG
330     973     330     0     0     0     ET
330     769     257     34     39     73     EG
332     546     173     25     134     159     EG
333     949     320     2     11     13     ES
333     965     326     1     6     7     ES
333     547     173     121     39     160     EG
333     551     173     26     134     160     EG
334     972     330     0     4     4     ES
334     969     330     2     2     4     ET
334     944     318     0     16     16     ET
335     937     318     0     17     17     ET
336     787     262     35     39     74     EG
337     909     307     9     21     30     ET
337     905     307     29     1     30     ET
338     69     24     0     314     314     ET
339     72     24     0     315     315     ET
339     849     287     16     36     52     ET
341     334     102     5     234     239     ES
341     618     205     28     108     136     EG
342     983     341     0     1     1     ET
342     621     205     62     75     137     EG
343     627     206     62     75     137     EG
344     979     341     0     3     3     ES
345     565     181     54     110     164     EG
347     348     110     1     236     237     ES
347     982     341     0     6     6     ES
347     1000     346     0     1     1     ET
347     391     117     65     165     230     EG
347     454     140     44     163     207     EG
348     985     343     0     5     5     ES
348     988     343     0     5     5     ES
348     408     119     3     226     229     ES
348     991     343     0     5     5     ES
349     993     346     0     3     3     ES
349     727     240     33     76     109     EG
349     648     211     62     76     138     EG
350     986     343     5     2     7     ET
351     832     274     36     41     77     EG
353     65     24     328     1     329     ET
353     66     24     316     13     329     ET
354     571     186     56     112     168     EG
354     31     11     0     343     343     ET
355     19     9     1     345     346     ET
357     18     9     347     1     348     ET
363     678     218     32     113     145     EG
364     679     218     32     114     146     EG
367     517     167     52     148     200     EG
368     861     288     80     0     80     EG
369     870     289     38     42     80     EG
372     696     225     31     116     147     EG
373     773     257     35     81     116     EG
374     778     259     35     80     115     EG
376     697     229     32     115     147     EG
376     702     229     32     115     147     EG
378     891     298     39     41     80     EG
378     894     298     39     41     80     EG
382     497     155     48     179     227     EG
383     2995     331     2     50     52     AM
387     456     140     21     226     247     EG
388     920     308     40     40     80     EG
389     569     186     25     178     203     EG
392     742     242     69     81     150     EG
393     744     242     33     118     151     EG
394     749     243     34     117     151     EG
395     834     279     36     80     116     EG
396     929     317     40     39     79     EG
397     840     279     38     80     118     EG
406     533     169     53     184     237     EG
410     483     149     144     117     261     EG
411     887     296     38     77     115     EG
414     710     230     33     151     184     EG
415     616     202     98     115     213     EG
416     2996     331     0     85     85     AM
416     977     341     40     35     75     EG
418     900     304     39     75     114     EG
419     903     304     40     75     115     EG
421     713     236     110     75     185     EG
424     649     212     29     183     212     EG
424     739     242     32     150     182     EG
425     745     243     111     71     182     EG
426     836     279     77     70     147     EG
426     837     279     37     110     147     EG
429     659     215     65     149     214     EG
430     662     215     104     111     215     EG
431     754     249     33     149     182     EG
432     844     285     37     110     147     EG
433     766     251     34     148     182     EG
433     768     251     34     148     182     EG
434     954     325     41     68     109     EG
434     956     325     41     68     109     EG
435     587     191     60     184     244     EG
437     686     224     31     182     213     EG
437     691     225     65     147     212     EG
440     774     257     74     109     183     EG
440     883     296     114     30     144     EG
442     890     298     115     29     144     EG
444     798     265     115     64     179     EG
447     810     269     35     143     178     EG
447     995     346     39     62     101     EG
448     814     269     35     144     179     EG
449     919     308     40     101     141     EG
449     726     240     182     27     209     EG
450     828     274     35     141     176     EG
451     654     212     181     58     239     EG
452     751     243     35     174     209     EG
452     930     317     40     95     135     EG
454     941     318     41     95     136     EG
456     758     249     113     94     207     EG
456     513     167     23     266     289     EG
457     846     285     37     135     172     EG
458     961     326     79     53     132     EG
460     970     330     41     89     130     EG
462     888     296     38     128     166     EG
462     785     262     34     166     200     EG
463     792     262     116     85     201     EG
464     435     132     133     199     332     EG
465     619     205     28     232     260     EG
467     998     346     39     82     121     EG
469     743     242     33     194     227     EG
470     935     317     110     43     153     EG
470     838     279     79     112     191     EG
471     660     215     31     225     256     EG
471     946     320     41     110     151     EG
472     841     285     37     150     187     EG
473     864     288     38     147     185     EG
474     876     291     116     67     183     EG
474     880     291     38     145     183     EG
474     974     330     78     66     144     EG
475     770     257     152     66     218     EG
476     603     201     97     178     275     EG
477     980     341     40     96     136     EG
478     806     268     115     95     210     EG
479     999     346     102     31     133     EG
481     940     318     110     53     163     EG
483     527     168     24     291     315     EG
484     886     296     38     150     188     EG
484     786     262     115     107     222     EG
485     610     202     97     186     283     EG
485     984     341     76     68     144     EG
486     904     304     80     102     182     EG
486     821     270     35     181     216     EG
487     831     274     176     37     213     EG
488     576     186     57     245     302     EG
489     958     325     79     85     164     EG
490     708     230     68     192     260     EG
491     826     274     35     182     217     EG
491     750     243     71     177     248     EG
492     680     218     106     168     274     EG
492     976     330     42     120     162     EG
493     672     216     145     132     277     EG
493     902     304     142     47     189     EG
493     55     19     3     471     474     ES
493     359     111     2     380     382     ES
493     430     127     2     364     366     ES
493     311     95     2     396     398     ES
493     386     117     3     373     376     ES
493     420     124     4     365     369     ES
493     406     119     3     371     374     ES
493     444     136     3     354     357     ES
493     427     127     2     364     366     ES
493     109     31     1     461     462     ES
493     412     121     11     361     372     ES
493     455     140     3     350     353     ES
493     452     140     5     348     353     ES
493     434     132     7     354     361     ES
493     439     132     3     358     361     ES
493     458     144     2     347     349     ES
493     492     154     3     336     339     ES
493     477     148     3     342     345     ES
493     500     155     3     335     338     ES
493     122     34     2     457     459     ES
493     469     145     2     346     348     ES
493     465     145     2     346     348     ES
493     505     163     2     328     330     ES
493     461     144     2     347     349     ES
493     489     154     4     335     339     ES
493     514     167     3     323     326     ES
493     124     34     2     457     459     ES
493     165     47     1     445     446     ES
493     530     169     4     320     324     ES
493     507     163     2     328     330     ES
493     542     171     5     317     322     ES
493     525     168     3     322     325     ES
493     522     168     8     317     325     ES
493     509     163     2     328     330     ES
493     549     173     7     313     320     ES
493     529     169     4     320     324     ES
493     586     191     1     301     302     ES
493     168     47     1     445     446     ES
493     563     181     4     308     312     ES
493     575     186     4     303     307     ES
493     559     179     2     312     314     ES
493     564     181     4     308     312     ES
493     589     191     1     301     302     ES
493     608     201     2     290     292     ES
493     597     199     7     287     294     ES
493     633     209     2     282     284     ES
493     13     4     7     482     489     ES
493     609     202     5     286     291     ES
493     639     209     3     281     284     ES
493     613     202     3     288     291     ES
493     655     212     3     278     281     ES
493     624     205     2     286     288     ES
493     663     215     3     275     278     ES
493     650     212     2     279     281     ES
493     628     206     4     283     287     ES
493     643     211     6     276     282     ES
493     647     211     3     279     282     ES
493     636     209     6     278     284     ES
493     665     216     5     272     277     ES
493     695     225     3     265     268     ES
493     682     224     3     266     269     ES
493     687     224     2     267     269     ES
493     677     218     2     273     275     ES
493     712     230     2     261     263     ES
493     698     229     2     262     264     ES
493     709     230     2     261     263     ES
493     724     240     1     252     253     ES
493     703     229     2     262     264     ES
493     214     64     1     428     429     ES
493     733     241     2     250     252     ES
493     720     236     1     256     257     ES
493     240     76     0     417     417     ES
493     236     76     0     417     417     ES
493     716     236     1     256     257     ES
493     767     251     2     240     242     ES
493     730     241     4     248     252     ES
493     736     241     2     250     252     ES
493     756     249     1     243     244     ES
493     761     251     5     237     242     ES
493     728     240     1     252     253     ES
493     788     262     0     231     231     ES
493     790     262     0     231     231     ES
493     796     265     0     228     228     ES
493     799     265     0     228     228     ES
493     250     78     2     413     415     ES
493     820     270     1     222     223     ES
493     807     268     0     225     225     ES
493     827     274     1     218     219     ES
493     816     269     0     224     224     ES
493     246     77     0     416     416     ES
493     822     270     1     222     223     ES
493     251     78     1     414     415     ES
493     257     82     1     410     411     ES
493     818     270     3     220     223     ES
493     833     279     2     212     214     ES
493     847     285     0     208     208     ES
493     845     285     0     208     208     ES
493     842     285     0     208     208     ES
493     857     288     1     204     205     ES
493     850     287     0     206     206     ES
493     854     287     1     205     206     ES
493     852     287     0     206     206     ES
493     865     289     1     203     204     ES
493     868     289     4     200     204     ES
493     893     298     2     193     195     ES
493     858     288     1     204     205     ES
493     873     291     1     201     202     ES
493     879     291     1     201     202     ES
493     860     288     3     202     205     ES
493     855     287     1     205     206     ES
493     882     296     1     196     197     ES
493     892     298     2     193     195     ES
493     889     298     2     193     195     ES
493     908     307     1     185     186     ES
493     916     308     1     184     185     ES
493     897     304     2     187     189     ES
493     914     308     1     184     185     ES
493     928     309     1     183     184     ES
493     933     317     0     176     176     ES
493     938     318     0     175     175     ES
493     952     320     1     172     173     ES
493     943     318     2     173     175     ES
493     967     326     1     166     167     ES
493     955     325     1     167     168     ES
493     963     326     3     164     167     ES
493     964     326     1     166     167     ES
493     966     326     1     166     167     ES
493     44     14     0     479     479     ET
493     46     14     0     479     479     ET
493     42     14     0     479     479     ET
493     38     13     0     480     480     ET
493     33     13     0     480     480     ET
493     54     19     0     474     474     ET
493     57     22     0     471     471     ET
493     53     19     0     474     474     ET
493     88     26     0     467     467     ET
493     92     28     0     465     465     ET
493     76     25     0     468     468     ET
493     81     26     0     467     467     ET
493     125     34     0     459     459     ET
493     135     37     0     456     456     ET
493     155     43     0     450     450     ET
493     153     43     1     449     450     ET
493     156     43     0     450     450     ET
493     160     43     0     450     450     ET
493     151     41     0     452     452     ET
493     144     38     0     455     455     ET
493     205     61     0     432     432     ET
493     202     61     1     431     432     ET
493     206     61     0     432     432     ET
493     222     66     0     427     427     ET
493     200     60     0     433     433     ET
493     210     64     5     424     429     ET
493     134     37     0     456     456     ET
493     255     78     0     415     415     ET
493     243     77     0     416     416     ET
493     272     83     0     410     410     ET
493     269     83     0     410     410     ET
493     238     76     0     417     417     ET
493     234     76     11     406     417     ET
493     227     75     0     418     418     ET
493     287     90     0     403     403     ET
493     286     90     1     402     403     ET
493     324     98     0     395     395     ET
493     322     98     0     395     395     ET
493     301     94     0     399     399     ET
493     278     89     0     404     404     ET
493     349     110     0     383     383     ET
493     345     110     0     383     383     ET
493     384     116     0     377     377     ET
493     416     121     0     372     372     ET
493     422     124     0     369     369     ET
493     429     127     0     366     366     ET
493     428     127     1     365     366     ET
493     433     132     0     361     361     ET
493     447     136     0     357     357     ET
493     441     136     2     355     357     ET
493     448     136     0     357     357     ET
493     453     140     0     353     353     ET
493     395     118     22     353     375     ET
493     472     145     0     348     348     ET
493     479     148     0     345     345     ET
493     470     145     0     348     348     ET
493     392     117     0     376     376     ET
493     381     116     0     377     377     ET
493     364     114     0     379     379     ET
493     524     168     0     325     325     ET
493     544     171     0     322     322     ET
493     277     89     0     404     404     ET
493     230     75     0     418     418     ET
493     557     179     0     314     314     ET
493     582     187     0     306     306     ET
493     566     181     1     311     312     ET
493     556     179     1     313     314     ET
493     554     179     11     303     314     ET
493     592     191     0     302     302     ET
493     273     89     87     317     404     ET
493     553     179     14     300     314     ET
493     116     32     163     298     461     ET
493     110     31     0     462     462     ET
493     595     199     0     294     294     ET
493     640     209     0     284     284     ET
493     635     209     1     283     284     ET
493     673     218     0     275     275     ET
493     664     215     0     278     278     ET
493     657     215     6     272     278     ET
493     685     224     0     269     269     ET
493     706     230     0     263     263     ET
493     704     229     0     264     264     ET
493     681     224     9     260     269     ET
493     642     211     0     282     282     ET
493     625     206     1     286     287     ET
493     629     206     1     286     287     ET
493     725     240     0     253     253     ET
493     747     243     0     250     250     ET
493     740     242     0     251     251     ET
493     732     241     0     252     252     ET
493     764     251     0     242     242     ET
493     755     249     5     239     244     ET
493     782     259     0     234     234     ET
493     781     259     1     233     234     ET
493     777     259     2     232     234     ET
493     808     268     0     225     225     ET
493     812     269     2     222     224     ET
493     830     274     0     219     219     ET
493     825     274     0     219     219     ET
493     794     265     0     228     228     ET
493     771     257     0     236     236     ET
493     803     268     5     220     225     ET
493     607     201     0     292     292     ET
493     102     30     0     463     463     ET
493     77     25     0     468     468     ET
493     843     285     0     208     208     ET
493     872     289     0     204     204     ET
493     869     289     4     200     204     ET
493     867     289     5     199     204     ET
