TimeDeath     ID      Tj      Df      Dd      Db
3     2005     0     1     2     3     AM
8     2023     7     0     1     1     AM
8     2007     0     2     6     8     AD
9     2022     7     0     2     2     AM
11     2000     0     1     10     11     AS
11     2008     5     0     6     6     AS
12     2012     5     0     7     7     AS
12     2001     0     2     10     12     AD
12     2038     11     0     1     1     AM
18     2030     8     1     9     10     AS
18     2052     15     0     3     3     AM
18     2055     15     0     3     3     AM
21     2014     5     3     13     16     AS
23     2017     7     3     13     16     AS
23     2063     20     0     3     3     AM
28     2025     8     2     18     20     AS
29     2045     14     2     13     15     AS
29     2002     0     1     28     29     AD
34     2097     31     0     3     3     AM
34     2100     31     0     3     3     AM
37     2118     36     0     1     1     AM
37     2116     36     0     1     1     AM
40     2129     38     0     2     2     AM
40     2131     38     0     2     2     AM
42     2108     35     0     7     7     AM
42     2113     36     5     1     6     AM
44     2043     14     2     28     30     AS
45     2148     43     0     2     2     AM
45     2150     43     0     2     2     AM
45     2105     35     0     10     10     AM
47     2027     8     2     37     39     AD
47     2095     29     0     18     18     AM
49     2156     48     0     1     1     AM
49     2158     48     0     1     1     AM
52     2154     48     2     2     4     AM
52     2153     48     2     2     4     AM
53     2091     29     0     24     24     AM
53     2075     26     0     27     27     AM
54     2083     28     0     26     26     AM
54     2073     26     0     28     28     AM
58     2161     55     0     3     3     AM
60     2072     26     29     5     34     AM
60     2168     57     0     3     3     AM
61     2070     24     0     37     37     AM
65     2183     63     0     2     2     AM
66     2180     63     0     3     3     AM
66     2062     20     0     46     46     AM
68     2176     63     3     2     5     AM
69     2069     24     37     8     45     AM
71     2051     15     3     53     56     AM
77     2205     74     0     3     3     AM
79     2204     74     0     5     5     AM
80     2212     77     0     3     3     AM
84     2229     82     0     2     2     AM
84     2232     83     0     1     1     AM
86     2228     82     0     4     4     AM
89     2245     87     0     2     2     AM
92     2253     90     0     2     2     AM
98     2286     97     0     1     1     AM
102     2283     97     2     3     5     AM
105     2310     103     0     2     2     AM
106     2311     103     0     3     3     AM
108     2047     14     2     92     94     AS
110     2333     109     0     1     1     AM
116     2028     8     6     102     108     AD
116     2003     0     5     111     116     AD
120     2369     118     0     2     2     AM
120     2372     118     0     2     2     AM
122     2363     116     0     6     6     AM
123     2067     24     7     92     99     AD
125     2382     123     0     2     2     AM
126     2383     123     0     3     3     AM
129     2386     127     0     2     2     AM
133     2398     130     0     3     3     AM
138     2417     137     0     1     1     AM
139     2414     135     0     4     4     AM
140     2420     137     0     3     3     AM
143     2430     141     0     2     2     AM
144     2035     11     3     130     133     AS
144     2428     141     0     3     3     AM
147     2438     145     0     2     2     AM
148     2410     135     5     8     13     AM
150     2451     147     0     3     3     AM
150     2460     149     0     1     1     AM
151     2411     135     0     16     16     AM
152     2427     141     2     9     11     AM
154     2405     134     0     20     20     AM
155     2399     130     0     25     25     AM
156     2403     134     0     22     22     AM
159     2468     157     0     2     2     AM
160     2074     26     2     132     134     AS
162     2096     31     11     120     131     AD
165     2145     43     19     103     122     AD
168     2267     93     19     56     75     AS
168     2490     165     0     3     3     AM
168     2489     165     0     3     3     AM
170     2036     11     7     152     159     AD
171     2501     169     0     2     2     AM
172     2024     8     2     162     164     AS
172     2079     26     40     106     146     AD
173     2077     26     8     139     147     AD
174     2080     28     9     137     146     AS
177     2106     35     13     129     142     AD
180     2551     178     0     2     2     AM
182     2065     24     5     153     158     AS
186     2061     20     7     159     166     AD
193     2606     190     0     3     3     AM
193     2600     190     0     3     3     AM
193     2588     186     0     7     7     AM
194     2584     186     0     8     8     AM
195     2580     183     0     12     12     AM
195     2596     189     0     6     6     AM
198     2098     31     3     164     167     AS
198     2101     31     3     164     167     AS
199     2616     197     0     2     2     AM
199     2622     197     0     2     2     AM
199     2134     38     17     144     161     AD
203     2629     200     0     3     3     AM
204     2639     201     0     3     3     AM
207     2650     206     0     1     1     AM
210     2663     208     0     2     2     AM
210     2661     208     0     2     2     AM
213     2668     211     0     2     2     AM
213     2667     211     0     2     2     AM
214     2656     208     2     4     6     AM
215     2272     95     19     101     120     AS
215     2653     206     0     9     9     AM
215     2664     211     2     2     4     AM
217     2140     41     18     158     176     AD
219     2674     217     0     2     2     AM
220     2677     217     0     3     3     AM
221     2648     206     9     6     15     AM
221     2683     219     0     2     2     AM
221     2645     205     0     16     16     AM
223     2641     205     0     18     18     AM
226     2695     224     0     2     2     AM
226     2102     31     30     165     195     AD
229     2693     224     2     3     5     AM
230     2705     227     0     3     3     AM
230     2694     224     0     6     6     AM
231     2103     31     12     188     200     AD
233     2713     231     0     2     2     AM
234     2692     224     6     4     10     AM
235     2716     231     0     4     4     AM
236     2723     234     0     2     2     AM
239     2690     224     12     3     15     AM
245     2111     35     14     196     210     AD
248     2766     247     0     1     1     AM
255     2060     20     15     220     235     AD
257     2806     255     0     2     2     AM
258     2114     36     14     208     222     AD
261     2812     258     0     3     3     AM
261     2814     258     0     3     3     AM
262     2802     255     0     7     7     AM
263     2799     253     0     10     10     AM
264     2795     253     0     11     11     AM
265     2122     37     9     219     228     AS
265     2194     73     94     98     192     AS
265     2821     264     0     1     1     AM
266     2085     28     25     213     238     AD
268     2128     38     16     214     230     AD
269     2839     267     0     2     2     AM
275     2862     272     0     3     3     AM
278     2878     276     0     2     2     AM
279     2863     272     0     7     7     AM
279     2875     276     0     3     3     AM
283     2890     282     0     1     1     AM
285     2893     282     0     3     3     AM
285     2020     7     8     270     278     AD
288     2058     20     2     266     268     AS
288     2330     109     17     162     179     AS
291     2926     289     0     2     2     AM
291     2923     289     0     2     2     AM
292     2219     81     28     183     211     AD
293     2344     112     55     126     181     AS
293     2917     288     0     5     5     AM
294     2920     289     2     3     5     AM
296     2919     288     0     8     8     AM
298     2912     288     7     3     10     AM
299     2903     284     0     15     15     AM
299     2905     287     0     12     12     AM
308     2949     305     0     3     3     AM
308     2950     305     0     3     3     AM
310     2944     305     4     1     5     AM
310     2939     303     0     7     7     AM
311     2945     305     3     3     6     AM
312     2941     303     0     9     9     AM
315     2959     313     0     2     2     AM
316     2964     314     0     2     2     AM
316     2936     303     9     4     13     AM
318     2186     70     39     209     248     AS
318     2938     303     9     6     15     AM
319     2934     301     0     18     18     AM
323     2980     321     0     2     2     AM
323     2982     321     0     2     2     AM
324     2969     317     0     7     7     AM
324     2976     321     2     1     3     AM
325     2076     26     39     260     299     AD
327     2992     325     0     2     2     AM
327     2999     325     0     2     2     AM
328     2935     301     0     27     27     AM
330     2078     26     8     296     304     AD
330     2888     282     18     30     48     AM
332     2932     301     27     4     31     AM
332     2889     282     18     32     50     AM
335     2883     281     0     54     54     AM
335     2886     281     0     54     54     AM
336     2860     272     7     57     64     AM
337     2854     271     0     66     66     AM
337     2881     281     54     2     56     AM
338     2107     35     3     300     303     AS
339     2853     271     0     68     68     AM
342     2847     270     0     72     72     AM
342     2842     270     0     72     72     AM
343     2835     267     1     75     76     AM
344     2834     267     2     75     77     AM
346     2831     266     0     80     80     AM
347     2829     266     0     81     81     AM
350     2828     266     81     3     84     AM
350     2792     253     11     86     97     AM
351     2790     252     0     99     99     AM
352     2789     252     0     100     100     AM
354     2781     251     0     103     103     AM
355     2788     252     100     3     103     AM
357     2769     250     0     107     107     AM
358     2779     251     104     3     107     AM
358     2754     245     0     113     113     AM
359     2753     245     0     114     114     AM
359     2763     247     0     112     112     AM
361     2748     243     0     118     118     AM
362     2751     243     0     119     119     AM
364     2744     243     119     2     121     AM
365     2640     205     17     143     160     AM
365     2746     243     119     3     122     AM
366     2736     242     0     124     124     AM
367     2689     224     12     131     143     AM
367     2735     241     0     126     126     AM
367     2624     200     0     167     167     AM
368     2613     196     0     172     172     AM
368     2611     196     0     172     172     AM
372     2609     196     173     3     176     AM
372     2608     196     173     3     176     AM
372     2207     74     26     272     298     AD
373     2581     183     0     190     190     AM
375     2577     183     190     2     192     AM
376     2133     38     36     302     338     AD
376     2579     183     189     4     193     AM
377     2565     181     0     196     196     AM
378     2571     182     0     196     196     AM
379     2561     181     0     198     198     AM
380     2162     55     20     305     325     AD
381     2549     178     1     202     203     AM
384     2556     180     0     204     204     AM
385     2546     178     204     3     207     AM
386     2538     176     0     210     210     AM
386     2539     176     0     210     210     AM
387     2534     175     0     212     212     AM
388     2517     173     0     215     215     AM
388     2449     147     56     185     241     AD
390     2514     173     0     217     217     AM
391     2037     11     4     376     380     AD
391     2086     28     10     353     363     AD
391     2528     175     212     4     216     AM
393     2509     171     0     222     222     AM
395     2498     169     0     226     226     AM
396     2512     173     218     5     223     AM
399     2496     169     227     3     230     AM
399     2483     164     0     235     235     AM
404     2088     29     10     365     375     AD
404     2481     164     236     4     240     AM
404     2220     81     71     252     323     AD
404     2484     164     0     240     240     AM
406     2477     161     0     245     245     AM
406     2479     161     0     245     245     AM
407     2136     41     17     349     366     AD
410     2465     157     3     250     253     AM
410     2476     161     246     3     249     AM
413     2377     123     3     287     290     AM
415     2396     130     25     260     285     AM
415     2391     127     0     288     288     AM
416     2044     14     3     399     402     AD
419     2366     116     0     303     303     AM
420     2378     123     3     294     297     AM
422     2368     118     3     301     304     AM
425     2361     116     305     4     309     AM
426     2360     116     307     3     310     AM
428     2354     115     0     313     313     AM
429     2355     115     0     314     314     AM
431     2342     111     0     320     320     AM
432     2347     112     0     320     320     AM
432     2352     115     314     3     317     AM
437     2341     111     322     4     326     AM
438     2343     111     0     327     327     AM
441     2340     111     327     3     330     AM
441     2339     111     327     3     330     AM
442     2334     109     0     333     333     AM
445     2337     111     331     3     334     AM
446     2385     127     47     272     319     AD
447     2331     109     334     4     338     AM
447     2328     109     336     2     338     AM
450     2323     108     0     342     342     AM
451     2321     108     0     343     343     AM
452     2318     107     0     345     345     AM
454     2319     107     0     347     347     AM
456     2317     107     346     3     349     AM
457     2316     107     347     3     350     AM
461     2308     103     355     3     358     AM
461     2309     103     3     355     358     AM
462     2284     97     1     364     365     AM
464     2296     102     0     362     362     AM
467     2282     97     365     5     370     AM
468     2188     70     24     374     398     AD
469     2279     95     0     374     374     AM
469     2281     97     368     4     372     AM
471     2278     95     0     376     376     AM
472     2117     36     15     421     436     AD
473     2115     36     34     403     437     AD
474     2277     95     375     4     379     AM
474     2273     95     377     2     379     AM
475     2256     92     0     383     383     AM
478     2270     93     0     385     385     AM
479     2251     90     0     389     389     AM
479     2243     87     1     391     392     AM
480     2031     8     3     469     472     AD
481     2223     81     0     400     400     AM
482     2195     73     25     384     409     AD
483     2224     82     3     398     401     AM
483     2125     37     16     430     446     AD
485     2222     81     0     404     404     AM
490     2221     81     403     6     409     AM
490     2218     81     405     4     409     AM
496     2217     81     410     5     415     AM
496     2307     103     41     352     393     AD
496     2216     81     410     5     415     AM
500     2200     74     423     3     426     AM
500     2202     74     6     420     426     AM
502     2193     73     0     429     429     AM
506     2196     73     0     433     433     AM
506     2050     15     56     435     491     AM
507     2192     73     430     4     434     AM
508     2056     20     49     439     488     AM
511     2040     14     0     497     497     AM
511     2042     14     0     497     497     AM
512     2459     149     58     305     363     AD
512     2032     11     1     500     501     AM
512     2021     7     3     502     505     AM
514     2029     8     0     506     506     AM
516     2019     7     506     3     509     AM
516     2015     5     3     508     511     AD
517     2090     29     11     477     488     AD
518     2173     57     22     439     461     AD
519     2018     7     507     5     512     AM
521     2009     5     0     516     516     AM
522     2010     5     0     517     517     AM
523     2016     7     509     7     516     AM
524     2234     83     31     410     441     AD
524     2006     0     1     523     524     AM
524     2238     83     75     366     441     AD
525     2004     0     4     521     525     AM
531     2239     83     32     416     448     AD
547     2247     87     34     426     460     AD
551     2380     123     46     382     428     AD
555     2508     171     152     232     384     AD
569     2109     35     33     501     534     AD
575     2760     247     95     233     328     AD
577     2049     15     4     558     562     AD
583     2574     182     69     332     401     AD
584     2189     70     24     490     514     AD
